Date,Open,High,Low,Close,Adj Close,Volume
5/18/2019,7266.080078,8281.660156,7257.259766,8193.139648,8193.139648,723011166
5/19/2019,8193.139648,8193.139648,7591.850098,7998.290039,7998.290039,637617163
5/20/2019,7998.290039,8102.319824,7807.77002,7947.930176,7947.930176,357803946
5/21/2019,7947.930176,8033.759766,7533.660156,7626.890137,7626.890137,424501866
5/22/2019,7626.890137,7971.259766,7478.740234,7876.5,7876.5,386766321
5/23/2019,7876.5,8165.450195,7801.569824,7996.399902,7996.399902,413162746
5/24/2019,7996.399902,8140.819824,7948.680176,8059.129883,8059.129883,179206342
5/25/2019,8059.129883,8779,7894.529785,8726.230469,8726.230469,483663699
5/26/2019,8726.230469,8931.530273,8668.459961,8785.169922,8785.169922,507164714
5/27/2019,8785.169922,8818.709961,8562.200195,8718.849609,8718.849609,360752199
5/28/2019,8718.849609,8760.480469,8444.099609,8664.55957,8664.55957,380343928
5/29/2019,8664.55957,9065.889648,8027.209961,8276.25,8276.25,815525590
5/30/2019,8276.25,8570.780273,8116,8560.080078,8560.080078,500141087
5/31/2019,8550.629883,8576.339844,8459.650391,8504.980469,8504.980469,69915456
